116,Die etwas anderen Cops,,,BluRay,,,
117,Die fabelhafte Welt der Amélie,,,DVD,,,
118,Die Familie Stone,Verloben verboten,,DVD,,,
119,Die Fremde in Dir,,,DVD,,,
120,Die Kanonen von Navarone,,,DVD,,,
121,Die Kovak Verschwörung,,104,DVD (TV-Movie),,,
122,Die Legende des Zorro,,,DVD,,,
123,Die Musterknaben,,91,DVD (TV-Movie),,,
124,Die purpurnen Flüsse,,,DVD (Silverdisc),,,
125,Die purpurnen Flüsse 2,,,DVD (Silverdisc),,,
126,Die Reise der Pinguine,,,DVD,,,
127,Die Säulen der Erde,,,BluRay,,,
128,"Die Simpsons Classics ""Bart Wars""",,,DVD,,,
129,Die Unglaublichen,,,DVD (Silverdisc),,,
130,Die Vorahnung,,92,DVD (TV-Movie),,,
131,Die Wutprobe,,,DVD (Silverdisc),,,
132,District 9,,,BluRay,,,
133,Dogma,,,DVD (Silverdisc),,,
134,Drei Engel für Charlie,,,DVD (Silverdisc),,,
135,Drei Engel für Charlie,,,DVD,,,
136,Dropzone,,97,DVD (TV-Movie),,,
137,Duplicity,Gemeinsame Geheimsache,,DVD,,,
138,Eat Pray Love,,,DVD,,,
139,Edison,,,BluRay,,,
140,Ein Königreich für ein Lama,,,DVD (Silverdisc),,,
141,Ein ungezähmtes Leben,,,DVD-Beileger,,,
142,Eine wie keine,,,DVD (Silverdisc),,,
143,Eineinhalb Ritter,,,DVD,,,
144,Entgleist,,,DVD,,,
145,Er steht einfach nicht auf Dich,,,DVD,,,
146,Eragon,,,DVD (Silverdisc),,,
147,Erbarmungslos,,,BluRay,,,
148,Family Guy,Season 1,,DVD,,,
149,FC Venus,,95,DVD (TV-Movie),,,
150,Final Call,,,DVD,,,
151,Firewall,,,DVD,,,
152,Flightplan,Ohne jede Spur,,DVD,,,
153,Flirting With Disaster,,90,DVD (TV-Movie),,,
154,Fluch der Karibik,,,DVD,,,
155,Fluch der Karibik 2,,,DVD,,,
156,Friends With Money,,,DVD,,,
157,From Paris With Love,,,BluRay,,,
158,Get Smart,,,DVD,,,
159,Gran Torino,,,DVD,,,
160,Grosse Haie - Kleine Fische,,,DVD,,,
161,Groupies Forever,,,DVD,,,
162,Haben Sie das von den Morgans gehört ?,,,BluRay,,,
163,Hancock,,,DVD,,,
164,Happy Feet,,,DVD,,,
165,Hard Rain,,,DVD (Silverdisc),,,
166,Harry Potter,Jahre 1 - 6,,BluRay,,,
167,Harry Potter,Die Heiligtümer des Todes (Teil 1),,BluRay,,,
168,Harry Potter 3,Der Gefangene von Askaban,,DVD (Silverdisc),,,
169,Herr der Ringe,,,DVD,,,
170,Herz,,,DVD,,,
171,Hitch,Der Datedoktor,,DVD,,,
172,Hitman,Jeder stirbt alleine,,BluRay (TV Movie),,,
173,Horton hört ein Hu!,,,DVD,,,
174,Hostage,Entführt,,DVD,,,
175,Hostile Waters,,,DVD (Silverdisc),,,
176,I Am Legend,,,DVD,,,
177,I Am Legend,,,DVD,,,
178,I Robot,,,DVD (Silverdisc),,,
179,Im Juli,,,DVD,,,
180,Im Netz der Spinne,,99,DVD (TV-Movie),,,
181,Im Tal von Elah,,116,DVD (TV-Movie),,,
182,In Her Shoes,,,DVD,,,
183,In The Electric Mist,,,DVD,,,
184,In The Line Of Fire,,,DVD,,,
185,Inception,,,BluRay,,,
186,Independence Day,,,DVD (Silverdisc),,,
187,Indiana Jones und das Königreich des Kristallschädels,,,DVD,,,
188,Infernal Affairs I,,96,DVD (TV-Movie),,,
189,Infernal Affairs II,,114,DVD (TV-Movie),,,
190,Inglorious Besterds,,,DVD (Silverdisc),,,
191,Inside Man,,,DVD,,,
192,Insomnia,Schlaflos,,BluRay,,,
193,Invasion,,,DVD,,,
194,Jackie Brown,,,DVD,,,
195,Jagd auf Roter Oktober,,,DVD,,,
196,James Bond: The World Is Not Enough,,,DVD (Silverdisc),,,
197,Jeanne d'Arc,,,DVD (Silverdisc),,,
198,Jennifer 8,,120,DVD (TV-Movie),,,
199,John Rambo,,,DVD,,,
200,Jonny Handsome,,89,DVD (TV-Movie),,,
201,Jumper,,85,DVD (TV-Movie),,,
202,Jurassic Park,Trilogy,,DVD,,,
203,K-19,Showdown in der Tiefe,,DVD (Silverdisc),,,
204,Kein Sterbenswort,,126,DVD (TV-Movie),,,
205,Keine halben Sachen,,95,DVD (TV-Movie),,,
206,KeinOhrHasen,,,DVD,,,
207,Kill Bill Volume 1,,,DVD,,,
208,Kill Bill Volume 2,,,DVD,,,
209,Kill Bobby Z,,93,DVD (TV-Movie),,,
210,Kindsköpfe,,,BluRay,,,
211,King Arthur,,,DVD (Silverdisc),,,
212,Kiss Of Death,,96,DVD (TV-Movie),,,
213,Knowing,,,BluRay,,,
214,Kommisarin Lund,Staffel 1,,DVD,,,
215,Königreich der Himmel,,,DVD (Silverdisc),,,
216,Kopf über Wasser,,89,DVD (TV-Movie),,,
217,Krieg der Welten,,,DVD (Silverdisc),,,
218,Kundun,,,DVD,,,
219,Lammbock,,89,DVD (TV-Movie),,,
220,Leathal Weapon,,,DVD (Silverdisc),,,
221,Leathal Weapon 2,,,DVD (Silverdisc),,,
222,Leathal Weapon 3,,,DVD (Silverdisc),,,
223,Leathal Weapon 4,,,DVD,,,
224,Liebe braucht keine Ferien,,,DVD,,,
225,Liebe in jeder Beziehung,,,DVD,,,
226,Liegen lernen,,,DVD (Silverdisc),,,
227,Little Buddha,,,DVD,,,
228,Lord Of War,Händler des Todes,,DVD,,,
229,Lost Memory,Killer ohne Erinnerung,118,DVD (TV-Movie),,,
230,Madagascar,,,DVD,,,
231,Madagascar 2,,,BluRay,,,
232,Mamma Mia!,,,DVD,,,
233,Man On Fire,,,DVD,,,
234,Manhattan,,,DVD,,,
235,Männerherzen,,,DVD,,,
236,Marley & Ich,,,DVD,,,
237,Matrix,,,DVD,,,
238,Matrix Reloaded,,,DVD,,,
239,Matrix Revolutions,,,DVD,,,
240,"Meine Braut, ihr Vater und ich",Meet the parents,,DVD (Silverdisc),,,
241,"Meine Braut, ihr Vater und ich",,,DVD,,,
242,"Meine Frau, Ihre Schwiegereltern und ich",,,DVD,,,
243,Men In Black,,,DVD (Silverdisc),,,
244,Men in Black II,,,DVD (Silverdisc),,,
245,Men Of Honor,,123,DVD (TV-Movie),,,
246,Mercury Rising,,,DVD (Silverdisc),,,
247,Miami Vice,No Law No Order,,DVD,,,
248,Minority Report,,,DVD (Silverdisc),,,
249,Miss Marple: 16 Uhr 50 ab Paddington,,,DVD,,,
250,Miss Marple: Der Wachsblumenstrauß,,,DVD,,,
251,Miss Marple: Mörder Ahoi,,,DVD,,,
252,Miss Marple: Vier Frauen und ein Mord,,,DVD,,,
253,Mission Impossible III,,,DVD,,,
254,Mission Impossible III,,,DVD,,,
255,Mister & Misses Smith,,,DVD (Silverdisc),,,
256,Mondscheintarif,,,DVD (Silverdisc),,,
257,Mord im Weißen Haus,,,DVD (Silverdisc),,,
258,Mord im Weißen Haus,,,DVD,,,
259,Mut zur Wahrheit,,112,DVD (TV-Movie),,,
260,National Treasure,,,DVD,,,
261,New Police Story,,118,DVD (TV-Movie),,,
262,Next,,,DVD,,,
263,Nicht auflegen,,,DVD (Silverdisc),,,
264,No Country For Old Men,,,BluRay,,,
265,Oben,,,BluRay,,,
266,Ocean's Eleven,,,DVD,,,
267,Ocean's Thirteen,,,DVD,,,
268,One Hour Photo,,92,DVD (TV-Movie),,,
269,Ong-Bak,,,DVD (Silverdisc),,,
270,Operation: Broken Arrow,,104,DVD (TV-Movie),,,
271,Orange County,,79,DVD (TV-Movie),,,
272,Original Sin,,112,DVD (TV-Movie),,,
273,Oxford Murders,,,BluRay,,,
274,P.S. Ich liebe Dich,,,DVD,,,
275,Payback,,,DVD (Silverdisc),,,
276,Per Anhalter durch die Galaxis,,,DVD (Silverdisc),,,
277,Pirates Of The Caribbean: Am Ende der Welt,,,DVD,,,
278,Planet der Affen,,,DVD (Silverdisc),,,
